date,score_0_100,breadth_score,trend_score,momentum_score,liquidity_score,volatility_score,leadership_score,capital_score,ew_return_1d,advancers,decliners,unchanged,new_high_20,new_low_20,limit_up_like,limit_down_like,coverage,ew_index,score_ma3,breadth_ma3,score_delta3,state,silver_finger,gold_finger
2020-03-30,22.865906780324387,18.33664490491059,8.114525139664805,40.29264316282861,30.819326595742236,38.18003337261128,0.0,43.480834502340485,-0.021730551658865047,646,2877,57,46,698,35,45,3580,955.4340837733525,29.55731127375445,28.442545094212246,-28.95173456536657,RISK_OFF,False,False
2020-03-31,29.850337789952945,41.768383447454596,9.231843575418996,48.75486305916099,26.038046948042442,38.395785737956444,0.0,50.06716276258668,0.00022387587528894525,1403,1956,221,80,325,66,12,3580,955.6479824151384,29.084372048611982,33.51357306364027,-1.4188176754274053,DEFENSIVE,False,False
2020-04-01,27.760795317393615,34.52981311183625,7.788944723618091,47.84945987913041,27.277219563782385,38.86614435077962,0.0,48.298734863921055,-0.005670883786929817,1164,2207,211,32,351,29,16,3582,950.2286137656481,26.82567996255698,31.544947154733805,-6.7760762581649985,DEFENSIVE,False,False
2020-04-02,51.776451640322726,89.02161547212741,21.649916247906198,57.07703745247521,29.923734561723393,38.47008836002763,54.74595198213289,56.38689372727587,0.021289645757586222,3130,386,66,30,13,92,5,3582,970.4586443414411,36.46252824922309,55.10660401047274,28.91054485999834,TRANSITION,True,False
2020-04-03,35.557263485168555,30.544296467863347,22.627024008933557,46.461878993757956,29.061965442222704,38.61959348137363,57.81686208821887,48.47124688119316,-0.005095843729356146,1055,2399,128,51,23,56,4,3582,965.5133387440743,38.36483681429497,51.36524168394234,5.7069256952156096,DEFENSIVE,False,False
2020-04-07,63.89028236864625,98.36711711711712,36.532550991897175,60.61007957559683,43.82791141001437,39.16699278749438,94.42581726739311,59.34026475314171,0.03113421584380573,3494,58,27,162,3,135,1,3579,995.5738394326058,50.407999164712514,72.64434301903596,36.12948705125263,RECOVERY,True,False
2020-04-08,51.75654594042272,59.182464454976305,43.40597932383347,51.1019283746557,39.81117502978797,40.284870209159884,80.45543447890472,51.37475964877869,0.004582532162595626,1998,1378,203,111,2,68,6,3579,1000.1360885720445,50.401363931412504,62.69795934665225,-0.01990569990000779,TRANSITION,False,False
2020-04-09,55.9525431859681,64.83246234245313,51.66201117318436,51.3553581423384,40.387110167355736,40.32130248593611,89.94413407821229,52.48222925697983,0.008274097523266103,2109,1144,327,148,5,87,8,3580,1008.4113121054274,57.19979049834569,74.12734797151552,20.39527970079955,RECOVERY,False,False
2020-04-10,34.99907930721856,13.46590909090909,37.171970965940815,40.289975952565314,42.91065450361564,40.33852641064195,55.30429927414852,43.07661408793875,-0.02307795304020416,474,3046,62,76,57,35,40,3582,985.1392431994477,47.5693894778698,45.82694529611283,-28.89120306142769,DEFENSIVE,False,False
2020-04-13,35.281513515929085,31.76300578034682,34.61753210496929,46.23592662871601,31.398184617074733,40.42037622754886,23.478503629257403,47.64501954598569,-0.007849934846714375,1099,2361,122,109,204,49,31,3582,977.4059643253905,42.077712003038584,36.68712573790301,-16.475032424493634,DEFENSIVE,False,False
2020-04-14,61.22334760952191,89.68481375358166,45.438058035714285,56.01967933169028,36.67714903118903,43.56439749554076,86.83035714285714,55.41065691423886,0.01803552304746283,3130,360,94,141,9,73,1,3584,995.0339921217088,43.83464681088986,44.97124287494586,5.270804423553805,RECOVERY,False,False
2020-04-15,43.60421187522193,27.430555555555557,40.76815642458101,46.12653163290821,40.78835956890774,43.74708049840513,87.70949720670392,48.20100501267081,-0.005996649957763971,948,2508,124,159,24,49,3,3580,989.0671215748786,46.70302433355764,49.62612502982801,8.60513256800337,TRANSITION,False,False
2020-04-16,50.84923333910428,54.85040797824116,42.542514636186226,50.46783625730997,38.16308730639395,44.49769526831293,83.17535545023696,51.32369621792351,0.00441232072641168,1815,1494,278,173,54,72,3,3587,993.4312029352158,51.892264274616046,57.32192576245945,15.567719823175196,TRANSITION,False,False
2020-04-17,49.325906138469556,43.88424821002387,43.24324324324324,49.26806953339433,46.789924057466116,44.869924399881654,83.1568682084146,49.896342757124884,-0.0003455241429170572,1471,1881,237,158,39,44,8,3589,993.0879484702745,47.926450450931924,42.055070581273526,-11.897441471052353,TRANSITION,False,False
2020-04-20,59.176092479443945,73.13077152219243,48.71794871794872,52.69602350162028,40.336689674461844,45.24466682476845,100.0,53.408723928338496,0.011362413094461645,2455,902,231,268,49,76,3,3588,1004.3718239799251,53.11707731900592,57.28847590348581,15.571880604222017,RECOVERY,False,False
2020-04-21,44.37254001947045,30.419781483611274,43.74303232998885,46.27823197168248,43.64477936118949,49.580279372713335,71.46042363433668,48.529323638681085,-0.00490225453772973,1058,2420,110,196,119,54,3,3588,999.4481376482515,50.95817954579465,49.14493373860919,-6.476693319633831,TRANSITION,False,False
2020-04-22,58.838114694679625,69.7151424287856,48.7054565701559,52.15827338129495,41.114393329334206,50.36705459582659,100.0,52.81264614550037,0.009375487151667899,2325,1010,257,254,32,93,8,3592,1008.818450821531,54.12891573119801,57.75523181152976,9.51220855621007,RECOVERY,False,False
2020-04-23,48.92234503892474,35.7870235670643,47.219132369299224,47.533399244555994,45.43503026989333,50.7888624723247,90.60066740823136,48.95090516151616,-0.0034969827949461276,1230,2207,159,222,76,70,7,3596,1005.2906300557838,50.7109999176916,45.30731582648705,-10.253747440519206,TRANSITION,False,False
2020-04-24,32.79987442216026,18.901915927938234,37.78859527121001,42.957746478873204,45.13285829573251,50.60899580864443,0.0,44.84372177756791,-0.017187594074773643,661,2836,98,105,517,33,50,3595,988.0121027792114,46.85344471858821,41.46802730792937,-11.572665597310191,DEFENSIVE,False,False
2020-04-27,36.618296178154246,36.43771827706635,35.30884808013356,47.309308338720115,39.51833206320517,50.20701625873281,0.0,48.04498613397741,-0.00651671288674196,1252,2184,158,131,539,47,52,3594,981.5735115767732,39.44683854641308,30.375552590689626,-22.21981851652538,DEFENSIVE,False,False
2020-04-28,32.12814931327369,22.678369195922986,27.284122562674096,40.47387550061345,51.292391536193385,50.44950576385806,0.0,43.83683739702596,-0.020543875343246785,801,2731,58,125,1177,33,66,3590,961.4081877147071,33.8487733045294,26.006001133642517,-16.79419572565105,DEFENSIVE,False,False
2020-04-29,42.0775970045597,47.683682502213045,27.225788445436784,50.0,35.84996877605182,50.26455851525924,43.301702483952,49.54794547180376,-0.0015068484273208086,1616,1773,194,153,177,47,31,3583,959.9594912990358,36.941347498662545,35.59992332506746,9.277722582399441,TRANSITION,False,False
2020-04-30,61.74506590951432,85.29914529914531,34.875594073245736,57.96812749003992,46.87934978623394,48.97036306177284,100.0,56.42005744920945,0.02140019149736482,2994,516,67,234,55,90,15,3577,980.502808242548,45.3169374091159,51.88706566576044,25.12676973136007,RECOVERY,False,False
2020-05-06,62.5134095923216,84.001153070049,42.023346303501945,55.65656565656565,47.37829158732127,48.82622690702787,100.0,55.41201573646253,0.018040052454875086,2914,555,129,367,52,110,9,3598,998.191130335396,55.44535750213188,72.32799362380244,30.385260279047912,RECOVERY,False,False
2020-05-07,46.616675680940986,34.215945866431305,40.38888888888889,47.800166684589755,43.444406444746505,49.09064434991771,89.16666666666666,49.44988730993018,-0.0018337089668993803,1163,2236,201,189,48,57,11,3600,996.3607383090205,56.9583837275923,67.83874807854187,4.539078676381287,TRANSITION,False,False
2020-05-08,61.74158458290295,79.34397163120568,46.76658340271996,53.26530612244902,45.483031261721884,50.78400694771402,100.0,53.23247384320992,0.010774912810699724,2685,699,219,223,28,68,6,3603,1007.0964383923047,56.957223285388515,65.85369018922866,-0.003481326611364466,RECOVERY,False,False
2020-05-11,50.59862107103174,41.865254486613715,47.33629300776915,48.85886935072361,44.66950902488554,51.040598827119524,90.2330743618202,50.16849545178263,0.0005616515059421047,1423,1976,205,193,48,55,5,3604,1007.6620756235566,52.98562711162523,51.808390661416894,-11.914788521289864,TRANSITION,False,False
2020-05-12,46.4251279113612,37.02301194290708,46.159179145867995,48.151706664389216,39.12124826158866,51.29558292460743,72.18524681087078,49.97025768032656,-9.91410655781287e-05,1271,2162,173,144,64,53,9,3606,1007.5621749316366,52.92177785509863,52.74407935357548,-0.1915477695797847,TRANSITION,False,False
2020-05-13,54.685419269066394,56.53357531760436,47.8375381203216,50.650406504065074,36.9098313629688,52.65283877463398,100.0,51.703965161650025,0.005679883872166745,1869,1437,301,225,42,75,7,3607,1013.2850110792359,50.56972275048644,45.14061391570838,-7.0561653138365585,TRANSITION,False,False
2020-05-14,41.1373368697574,23.32855093256815,42.59977827050998,45.62841530054644,38.93778353615181,53.65111434091453,63.58093126385809,47.54218193062718,-0.008192726897909406,813,2672,123,147,98,47,6,3608,1004.9834437137187,47.41596135006167,38.96171273102653,-9.461284201274339,TRANSITION,False,False
2020-05-15,49.31248098085062,50.497737556561084,43.91798282072597,50.0,37.903778245172745,54.34516127576363,67.45635910224439,50.77462505976901,0.0025820835325633673,1674,1641,294,163,100,62,10,3609,1007.5783949142308,48.3784123732248,43.45328793557786,2.8873530694894214,TRANSITION,False,False
2020-05-18,46.82077989933154,41.35316418780985,41.17891816920943,48.32869080779947,44.63939297248425,53.61554126457867,64.97919556171982,48.84037937729567,-0.0038654020756811176,1418,2011,176,206,152,70,31,3605,1003.6836992951179,45.75686591664652,38.393150892313024,-7.864639369734853,TRANSITION,False,False
